0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,probas
4,512,2,0,2,4,32,2,4,64,16,0,2,0,0,0,-0.31336638722554894
4,512,2,2,2,4,32,2,4,64,16,0,2,0,0,0,-0.31436440119760484
0,4,512,4,2,4,32,2,0,4,64,16,0,2,0,2,-0.3153624151696607
2,8,512,4,0,4,32,2,0,2,64,16,0,4,0,2,-0.3163604291417166
2,8,512,4,0,4,32,2,0,2,64,16,0,4,0,2,-0.3173584431137725
2,8,0,4,0,4,512,2,0,2,32,16,2,4,64,2,-0.3183564570858284
4,8,512,4,0,4,32,2,0,2,64,16,2,4,0,2,-0.3193544710578842
4,8,512,4,0,4,32,2,0,2,64,16,2,2,4,2,-0.3203524850299401
2,0,512,4,0,8,32,2,4,4,64,16,2,4,4,2,-0.321350499001996
2,8,512,4,4,8,32,2,2,2,64,16,0,0,4,2,-0.3223485129740519
2,8,512,4,4,8,32,2,0,4,64,16,2,0,4,2,-0.3233465269461078
2,16,512,4,4,4,32,2,2,0,64,16,2,0,4,2,-0.32434454091816367
2,16,512,4,2,8,32,2,0,2,64,16,0,2,4,2,-0.32534255489021957
2,16,512,4,2,8,32,2,0,2,64,16,0,2,4,2,-0.32634056886227547
2,16,512,4,2,8,32,2,2,64,16,4,2,4,2,0,-0.32733858283433137
